TYPE,NORMAL,FIRE,WATER,ELECTRIC,GRASS,ICE,FIGHTING,POISON,GROUND,FLYING,PSYCHIC,BUG,ROCK,GHOST,DRAGON,DARK,STEEL,FAIRY
NORMAL,,,,,,,,,,,,,-1,-2,,,-1,
FIRE,,-1,-1,,1,1,,,,,,1,-1,,-1,,1,
WATER,,1,-1,,-1,,,,1,,,,1,,-1,,,
ELECTRIC,,,1,-1,-1,,,,-2,1,,,,,-1,,,
GRASS,,-1,1,,-1,,,-1,1,-1,,-1,1,,-1,,-1,
ICE,,-1,-1,,1,-1,,,1,1,,,,,1,,-1,
FIGHTING,1,,,,,1,,-1,,-1,-1,-1,1,-2,,1,1,-1
POISON,,,,,1,,,-1,-1,,,,-1,-1,,,-2,1
GROUND,,1,,1,-1,,,1,,-2,,-1,1,,,,1,
FLYING,,,,-1,1,,1,,,,,1,-1,,,,-1,
PSYCHIC,,,,,,,1,1,,,-1,,,,,-2,-1,
BUG,,-1,,,1,,-1,-1,,-1,1,,,-1,,1,-1,-1
ROCK,,1,,,,1,-1,,-1,1,,1,,,,,-1,
GHOST,-2,,,,,,,,,,1,,,1,,-1,,
DRAGON,,,,,,,,,,,,,,,1,,-1,-2
DARK,,,,,,,-1,,,,1,,,1,,-1,,-1
STEEL,,-1,-1,-1,,1,,,,,,,1,,,,-1,1
FAIRY,,-1,,,,,1,-1,,,,,,,1,1,-1,
